"","FLT3","GeneID","Gene_Expression","TCGA"
"391",117.5228,"FANCL",9.26513234850648,"Non-TNBC"
"392",261.3872,"FANCL",7.53481644105892,"Non-TNBC"
"393",9.5322,"FANCL",8.50733639285027,"Non-TNBC"
"394",536.6008,"FANCL",8.46337600918382,"Non-TNBC"
"395",19.1574,"FANCL",7.48830531835567,"Non-TNBC"
"396",39.0087,"FANCL",8.16962190345964,"Non-TNBC"
"397",202.2774,"FANCL",8.01006312370929,"Non-TNBC"
"398",2.7663,"FANCL",7.62652163663579,"Non-TNBC"
"399",607.2503,"FANCL",8.12447702932967,"Non-TNBC"
"400",3.3215,"FANCL",8.44611724798501,"Non-TNBC"
"401",26.5792,"FANCL",8.48977050630375,"Non-TNBC"
"402",9.6826,"FANCL",8.1787554678318,"Non-TNBC"
"403",251.5817,"FANCL",8.61190342985013,"Non-TNBC"
"404",26.7482,"FANCL",8.01355661255006,"Non-TNBC"
"405",251.2262,"FANCL",8.28231191398618,"Non-TNBC"
"406",53.6659,"FANCL",7.78959558986822,"Non-TNBC"
"407",0.672,"FANCL",8.310652313234,"Non-TNBC"
"408",228.0285,"FANCL",8.2875863402052,"Non-TNBC"
"409",16.2808,"FANCL",8.42742263984089,"Non-TNBC"
"410",5.1151,"FANCL",8.76661801835337,"Non-TNBC"
"411",44.8425,"FANCL",8.54958562197302,"Non-TNBC"
"412",286.385,"FANCL",7.47086707887008,"Non-TNBC"
"413",1067.0252,"FANCL",8.74922953990536,"Non-TNBC"
"414",11.6,"FANCL",8.34892286066775,"Non-TNBC"
"415",143.3812,"FANCL",7.28832533700205,"Non-TNBC"
"416",74.1957,"FANCL",7.79928032617226,"Non-TNBC"
"417",107.7377,"FANCL",8.41622666890197,"Non-TNBC"
"418",1148.2979,"FANCL",8.23822606337859,"Non-TNBC"
"419",288.0979,"FANCL",7.79239793199565,"Non-TNBC"
"420",9.9462,"FANCL",7.99683725906204,"Non-TNBC"
"421",67.8482,"FANCL",8.8250223640447,"Non-TNBC"
"422",2.4348,"FANCL",9.7925355637606,"Non-TNBC"
"423",202.8169,"FANCL",8.98958665714899,"Non-TNBC"
"424",18.9991,"FANCL",8.41521486660365,"Non-TNBC"
"425",19.7814,"FANCL",8.80200252555981,"Non-TNBC"
"426",266.3617,"FANCL",7.55063521265255,"Non-TNBC"
"427",19.4188,"FANCL",7.91222710097713,"Non-TNBC"
"428",41.7755,"FANCL",8.02921874910002,"Non-TNBC"
"429",5.3318,"FANCL",8.75959229223697,"Non-TNBC"
"430",170.1364,"FANCL",8.10407084812467,"Non-TNBC"
"431",437.8399,"FANCL",8.46218813782093,"Non-TNBC"
"432",85.8987,"FANCL",8.32910475500196,"Non-TNBC"
"433",57.6966,"FANCL",8.08710371400317,"Non-TNBC"
"434",18.8845,"FANCL",8.27110207554822,"Non-TNBC"
"435",404.9875,"FANCL",8.74245024568081,"Non-TNBC"
